case_id,open_date,close_date,target_close_date,case_topic,service_name,assigned_department,assigned_team,case_status,closure_reason,closure_comments,on_time,report_source,full_address,street_number,street_name,zip_code,neighborhood,public_works_district,city_council_district,fire_district,police_district,ward,precinct,longitude,latitude
BCS-00127123,2025-12-09 16:42:50.831796+00,,2025-12-12 16:42:50.831796+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,BOS311,"1-3 Avery St, Boston, MA 02111",559,Washington St,02111,Downtown,1C,2,3,A1,03,12,-71.062695,42.353622
BCS-00127130,2025-12-09 17:01:58.669818+00,2025-12-09 22:10:02+00,2025-12-12 17:02:03.10989+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,Closed,Resolved,,ONTIME,BOS311,"45 Fleet St, Boston, MA 02109",45,Fleet St,02113,North End,1B,1,3,A1,03,01,-71.0519625,42.364161
BCS-00127134,2025-12-09 17:11:50.453505+00,,2025-12-12 17:11:50.453505+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,BOS311,"248 Marlborough St, Boston, MA 02116",248,Marlborough St,02116,Back Bay,1C,8,4,D4,05,08,-71.0821395,42.351696
BCS-00127135,2025-12-09 17:19:37.281384+00,2025-12-10 07:48:01+00,2025-12-12 17:19:37.281384+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,Closed,Transitioned,,ONTIME,BOS311,Atlantic Ave & Summer St,,Atlantic Ave & Summer St,02110,Downtown,1C,2,3,A1,03,14,-71.05542579,42.35258867
BCS-00127137,2025-12-09 17:32:52.308931+00,,2025-12-12 17:32:52.308931+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,BOS311,"290 Congress St, Boston, MA 02210",290,Congress St,02210,Downtown,1C,2,6,A1,03,14,-71.0523675,42.352983
BCS-00127142,2025-12-09 18:26:56.32448+00,,2025-12-12 18:26:56.32448+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,BOS311,"56 Temple St, Boston, MA 02114",56,Temple St,02114,Beacon Hill,1B,8,3,A1,03,17,-71.063451,42.359742
BCS-00127143,2025-12-09 18:45:56.03582+00,,2025-12-12 18:45:56.03582+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,In progress,,,OVERDUE,BOS311,"100 Huntington Ave, Boston, MA 02116",100,Huntington Ave,02116,Back Bay,1C,2,4,D4,04,02,-71.0780535,42.347052
BCS-00127150,2025-12-09 19:32:46.462+00,,2025-12-12 19:32:46.462+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,OVERDUE,Call,"754 Morton St, Dorchester, MA 02124",754,Morton St,02124,Dorchester,7B,4,8,B3,14,13,-71.0891325,42.283836
BCS-00127155,2025-12-09 20:14:33.095151+00,2026-01-07 10:28:02+00,2025-12-12 20:14:33.095151+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,Closed,Resolved,,OVERDUE,BOS311,Lincoln St & Mansfield St,5,Mansfield St,02134,Allston,4,9,11,D14,22,02,-71.13033046,42.35682966
BCS-00127171,2025-12-09 23:44:03.517381+00,,2025-12-12 23:44:03.517381+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,In progress,,,OVERDUE,BOS311,"66-68 Burton St, Boston, MA 02135",66,Burton St,02135,Brighton,4,9,11,D14,22,13,-71.171631,42.355458
BCS-00127173,2025-12-09 23:51:53.887+00,2025-12-11 11:34:02+00,2025-12-12 23:51:53.887+00,Street Light Other,Street Light Other,Public Works Department (PWD),PWD Street Lighting,Closed,Resolved,Made temporary repairs to composite pull box. Cracked sidewalk needs to be broken out. Pull box needs to be properly reset and sidewalk poured.,ONTIME,Call,E Canton St & Harrison Ave,623,Harrison Ave,02118,South End,1C,2,4,D4,08,01,-71.0703254,42.33880691
BCS-00127177,2025-12-10 03:50:07.221+00,2025-12-10 07:14:03+00,2025-12-13 03:50:07.221+00,Street Light Other,Street Light Other,Public Works Department (PWD),PWD Street Lighting,Closed,Resolved,Was cut away and made safe,ONTIME,Call,"200-208 Adams St, Boston, MA 02122",204,Adams St,02122,Dorchester,3,3,7,C11,15,09,-71.0599725,42.30216
BCS-00127182,2025-12-10 06:20:18.884+00,,2025-12-13 06:20:18.884+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,Call,"72 Leyden St, Boston, MA 02128",70,Leyden St,02128,East Boston,9,1,1,A7,01,13,-71.009631,42.389856
BCS-00127190,2025-12-10 07:14:48.395528+00,2026-02-02 21:08:03+00,2025-12-13 07:14:48.395528+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,Closed,Resolved,,OVERDUE,BOS311,"227-233 W Canton St, Boston, MA 02116",227,W Canton St,02116,South End,1C,2,4,D4,04,03,-71.0772705,42.34554
BCS-00127199,2025-12-10 07:51:57.691788+00,2025-12-11 17:00:19+00,2025-12-13 07:51:57.691788+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,ONTIME,BOS311,"170 Morton St, Boston, MA 02130",170,Morton St,02130,Roxbury,2,7,9,B2,12,07,-71.1019395,42.299604
